cell_id,H3tot,H3met,CK5,Fibronectin,CK19,CK8/18,TWIST1,CD68,CK14,SMA,Vimentin,Myc,HER2,CD3,H3phospho,ERK1/2,SLUG,ER,PR,p53,CD44,EpCAM,CD45,GATA3,CD20,betaCatenin,CAIX,Ecadherin,Ki67,EGFR,S6,Sox9,vWf_CD31,mTOR,CK7,panCK,cPARP_cCasp3,DNA1,DNA2
645,11.130734,0.55119354,0.043010753,0.49720427,0.21707526,1.0704194,0.09860215,0.18391398,0.025301076,0.23345162,3.6659038,0.078989245,1.2727419,0.042612903,0.16604301,0.15047312,0.29053763,0.010752688,0.26580644,0.07258064,8.570743,0.10489248,0.022118278,0.78105366,0.013053764,0.073129036,0.40962368,1.4504299,0.1768387,0.15773119,1.7017204,0.1613656,0.010752688,0.6086129,0.1354301,5.6887836,0.37349463,3.664462,7.5280538
646,19.19685,0.63568425,0.122675434,1.4467543,0.31942105,1.1251141,0.2878158,0.18021052,0.09854385,0.42724562,5.8480268,0.29248244,0.6264912,0.086666666,0.2674649,0.146307,0.23953508,0.03508772,0.6910526,0.12253509,21.123217,0.35604385,0.040245615,0.9285178,0.05796491,0.17649123,0.44000876,5.0403666,0.21090348,0.25573683,2.2387013,0.35920176,0.07678947,1.032614,0.16750878,12.633305,0.80149126,3.7826412,6.82421
647,8.6116295,0.6376027,0.23372602,0.67249316,1.2081506,2.1406574,0.12554793,0.26799998,0.1000411,3.3783426,2.9833972,0.2271096,1.1094658,0.041794524,0.14926027,0.34858906,0.23010959,0.07109589,0.4803288,0.089999996,17.384575,0.26972604,0.04109589,0.3848356,0.045369864,0.17516439,0.32302743,3.8919992,0.21213698,0.3112329,1.8589591,0.16764385,0.1449863,1.1711507,0.3179589,19.322538,0.9083973,1.7296437,3.7450829
648,6.901907,0.38267893,0.08887156,1.0939541,0.26145872,1.1551926,0.10301835,0.18610092,0.06319266,2.5707622,2.837679,0.15033028,0.80336696,0.06527523,0.071376145,0.119642206,0.13400917,0.021550458,0.48098165,0.061587155,12.606413,0.2636697,0.03522936,0.44455048,0.029486239,0.088532105,0.26392663,3.7493389,0.2453578,0.19523853,1.0882936,0.08443119,0.022366973,0.6367798,0.094633035,5.2409725,0.44529358,1.7064407,3.1985693
649,5.3377023,0.54970235,0.0912381,3.1718328,0.2329881,0.07248809,0.2562262,2.738798,0.05960714,0.3152381,11.161904,0.54780954,0.37967855,0.1357381,0.18610714,0.5344047,0.36784524,0.22811903,0.9209286,0.060845237,60.20534,0.5169762,0.2969643,0.19557142,0.053488094,0.19303572,1.157012,0.44909522,0.019714287,0.34129757,2.6522617,0.43711913,0.06679762,0.5529167,0.07791667,0.7066309,0.8089643,1.0001427,1.7680955
650,11.816025,0.77739024,0.078999996,0.7272439,0.36229268,2.450195,0.06409755,0.21368292,0.083634146,0.42509758,5.8684635,0.29639027,0.558122,0.026414633,0.07317073,0.024390243,0.30760977,0.1005122,0.4427317,0.16012195,8.12939,0.14068292,0.04987805,0.17178048,0.024390243,0.07412195,0.46846348,1.5536343,0.055097558,0.15729268,1.3940488,0.2732927,0.083853655,1.6396585,0.25160974,18.26356,0.90221953,2.9880247,5.610683
651,7.278896,0.50725144,0.06504,4.933937,0.16437715,0.13743429,0.19176573,1.5217259,0.05572,0.95548576,3.14268,0.15974858,0.23748574,0.039971426,0.14399427,0.32250282,0.08151999,0.08376,0.63088,0.090851426,38.48279,0.31507432,0.26556575,0.10113143,0.08555428,0.05690857,0.47037706,0.5274514,0.066954285,0.13145143,1.5325999,0.15568572,0.05883429,0.42734292,0.035765715,0.6306515,0.62814856,1.7745203,3.624966
652,12.097803,0.844753,0.10304938,1.239177,3.521128,1.8296664,0.147,0.20527984,0.13764197,0.1895103,10.154799,0.3310453,1.0335761,0.11212347,0.19632511,0.122012354,0.42639095,0.043798354,0.4454526,0.059135802,4.8700285,0.18380658,0.034209877,0.49620578,0.043390945,0.15545681,0.5796707,3.9944735,0.18821399,0.26155555,2.5009303,0.3840823,0.0817572,1.0435312,1.5656831,34.89596,1.2128849,2.6708105,5.437969
653,10.25507,0.48754135,0.100993626,0.6008535,0.4396751,1.0612419,0.10243312,0.24585986,0.062547766,1.3638661,3.0534015,0.150586,0.917586,0.10617834,0.17200638,3.96721,0.16033758,0.020528663,0.46154776,0.04178344,12.043476,0.20205095,0.015859872,0.3695605,0.012738854,0.13494904,0.29821652,3.3264468,0.23746498,0.13903184,1.2148792,0.12550318,0.055337578,0.7189935,0.12120383,5.0117965,0.4631593,3.4649615,6.1557765
654,7.4200416,0.5872417,0.1393,6.027292,0.46172503,0.40581667,0.17729165,0.4985083,0.13425833,0.82921666,3.4300675,0.22384167,0.43665835,0.025,0.13950834,0.2708,0.6515,0.09379167,0.53576666,0.0811,28.49838,0.36628333,0.103358336,0.123791665,0.101799995,0.12540834,0.5527417,2.451475,0.068391666,0.15966667,2.0068164,0.510225,0.03475,0.71634996,0.096758336,5.4771924,0.47516668,2.0307245,4.0183415
655,12.110224,0.8635802,0.20603703,0.7861112,0.46675304,0.90004945,0.16364197,0.3009012,0.10337037,2.6301851,0.91316056,0.099074066,0.82114816,0.092012346,0.27353087,0.5850741,0.1364321,0.048123457,0.6305802,0.233321,12.001297,0.23160492,0.060160495,0.5593458,0.11214814,0.17044444,0.5640494,4.1046906,0.2792716,0.21756792,2.2299752,0.5318889,0.05148148,1.3542963,0.18449382,7.980866,0.61758024,2.952037,5.566951
656,6.043319,0.7694941,0.18505882,4.069719,0.76169413,1.0381411,0.1751647,0.8740353,0.19679998,4.50467,20.82133,0.7530117,0.33867058,0.23795293,0.14487058,0.3261647,0.078282356,0.11598824,0.71587056,0.11737646,41.62984,0.52561176,0.26416472,0.15550588,0.0,0.14023529,0.4113647,1.3025177,0.13301176,0.31895295,2.2228353,0.33541176,0.13629411,0.7194471,0.28275293,14.512656,1.0696353,1.4938588,3.3896356
657,8.24327,0.38156998,0.14324,1.04661,0.38398993,1.17515,0.094799995,0.08574,0.10436,3.1007502,3.39467,0.17653999,0.5745499,0.04282,0.08609,0.13957,0.11551001,0.03,0.41529998,0.08283,11.095541,0.16176,0.05395,0.53098,0.05691,0.10439,0.27604,3.04438,0.22188,0.18530001,0.98547995,0.11004001,0.06474,1.07755,0.096020006,6.6473603,0.47873002,2.2426295,3.5108602
658,8.976369,0.61405265,0.0930117,0.8884152,0.90204686,1.5824735,0.07586549,0.19870175,0.13205847,0.38754383,10.972427,0.30916372,0.9364211,0.046497077,0.19838011,0.2082924,0.28059062,0.057871345,0.46826905,0.069198824,14.006144,0.26745033,0.038906433,0.37918127,0.06290643,0.08320468,0.4710293,4.13897,0.27892983,0.3299357,2.402544,0.5600526,0.08195906,0.87800574,0.4032924,20.0725,0.80780107,1.4675848,2.7163627
659,13.659753,0.6766721,0.13203278,0.8042786,0.18890163,0.9719671,0.055885244,0.18060656,0.06578688,0.32300004,1.5903114,0.0772459,0.90268856,0.04480328,0.07885246,0.13603279,0.14895083,0.019508198,0.31554097,0.046672132,10.039656,0.18667214,0.020344263,0.28878686,0.0,0.043131147,0.33614755,2.2579505,0.1067377,0.18055737,1.5047706,0.2225246,0.016393442,0.5733935,0.20281968,12.270952,0.9100328,3.3399835,5.6620007
660,4.395464,0.37984508,0.08450704,1.1570141,0.3438451,0.27057746,0.119802825,0.071042255,0.04225352,0.20659155,0.871169,0.06498592,0.46563378,0.02843662,0.13204226,0.05195775,0.27367607,0.014084507,0.23392956,0.04421127,4.5281415,0.0788169,0.015633803,0.16819718,0.046183098,0.07911268,0.22888732,0.28567603,0.014084507,0.14540845,0.6970563,0.014084507,0.028169014,0.28678873,0.1753662,5.0646057,0.4402958,1.1308028,1.9441408
661,10.962816,0.8815116,0.14209884,1.2140526,2.643657,1.4154825,0.114569776,0.23308726,0.10544768,0.9953779,9.851882,0.31321514,0.9124592,0.10940698,0.16236046,0.22814536,0.2667326,0.051313955,0.45076162,0.06818023,5.0551467,0.25723258,0.057540692,0.54538953,0.066726744,0.2386744,0.56731397,6.308757,0.25943023,0.28031978,1.9227151,0.2576744,0.04502326,1.1524072,1.331593,24.536707,1.0371746,2.7465985,5.0413423
662,5.0554514,0.60508215,0.09226028,9.094425,0.82217807,0.60117805,0.08056164,0.8805069,0.12617809,3.5378356,8.049591,0.5134109,0.3377945,0.12723288,0.121561654,0.18250684,0.7503973,0.10812328,0.88412327,0.06424657,50.213867,0.45891786,0.20915069,0.13747944,0.03280822,0.112986304,2.2705755,1.3268629,0.05190411,0.26946577,2.2415755,0.28227395,0.065876715,0.5761781,0.24938355,6.6817393,0.8052328,1.0879179,2.4307673
